dataset,episode,classification,bag_duration_s,common_overlap_s,alignment_coverage_50ms,drop_events,estimated_missing,severe_gaps,usable_segments_ge_5s,usable_continuous_s,longest_continuous_s,header_clock_topics,size_bytes,errors,warnings,path
f1-5-201,episode_000121,FRAGMENT_ONLY,73.094961949,73.01259708404541,0.9914104882459313,168,206,1,2,72.71223974227905,51.23515272140503,2,979165043,,"one or more required streams has a gap >200 ms | 168 dropped-frame events, about 206 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000121
f1-5-201,episode_000122,READY,70.742132329,70.67011427879333,0.9971988795518207,180,197,0,1,70.67011427879333,70.67011427879333,2,958837125,,"180 dropped-frame events, about 197 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000122
f1-5-201,episode_000123,FRAGMENT_ONLY,61.502618534,59.3273606300354,0.9927697441601779,210,240,1,2,59.03773379325867,49.26236271858215,3,821109303,,"one or more required streams has a gap >200 ms | 210 dropped-frame events, about 240 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000123
f1-5-201,episode_000124,FRAGMENT_ONLY,70.907397865,70.84703254699707,0.9934792734047508,113,144,1,2,70.6243360042572,59.6449875831604,2,958153806,,"one or more required streams has a gap >200 ms | 113 dropped-frame events, about 144 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000124
f1-5-201,episode_000125,FRAGMENT_ONLY,64.942952293,64.87690830230713,0.987792472024415,136,172,1,2,64.3437569141388,35.70979928970337,2,881253992,,"one or more required streams has a gap >200 ms | 136 dropped-frame events, about 172 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000125
f1-5-201,episode_000126,FRAGMENT_ONLY,71.66985243,71.59829235076904,0.9820276497695852,230,293,6,4,68.38243818283081,29.820995330810547,3,973713962,,"one or more required streams has a gap >200 ms | 230 dropped-frame events, about 293 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000126
f1-5-201,episode_000127,READY,61.362895766,59.17012357711792,0.9910764082543224,175,215,0,1,59.17012357711792,59.17012357711792,3,815268767,,"175 dropped-frame events, about 215 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000127
f1-5-201,episode_000128,FRAGMENT_ONLY,67.015036987,66.94730114936829,0.988171513060621,190,231,2,2,61.44703221321106,50.969104528427124,3,907203318,,"one or more required streams has a gap >200 ms | 190 dropped-frame events, about 231 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000128
f1-5-201,episode_000129,FRAGMENT_ONLY,65.296104386,62.62417197227478,0.9905163329820864,156,188,3,3,61.86506795883179,31.03328847885132,3,882715817,,"one or more required streams has a gap >200 ms | 156 dropped-frame events, about 188 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000129
f1-5-201,episode_000130,REJECT,,,,,,,,,,,,metadata/file error: metadata.yaml is empty or invalid,,/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000130
